inout	x	y	speed	netheight
1	-29.24	-2.17	75	2.6
1	18.32	9.03	49	3.3
0	-36.36	16.55	91	4.3
1	18.94	2.48	59	1.0
1	-37.27	-2.83	54	8.6
1	-29.54	-2.29	67	3.2
1	19.00	-5.45	51	1.9
1	-16.81	9.77	40	3.9
1	28.52	9.14	61	6.7
1	-29.21	-2.93	66	3.0
1	14.74	0.98	56	0.4
1	-22.29	-2.89	63	1.8
1	14.90	3.18	57	0.3
1	-25.51	-6.28	52	3.7
1	-30.24	10.78	61	5.2
1	15.17	8.68	52	2.4
1	23.69	1.42	52	3.9
1	-20.23	-3.45	66	0.8
1	33.47	-0.62	61	3.0
1	-24.75	-4.87	61	2.6
1	27.86	0.98	71	2.6
1	-23.29	-3.05	69	2.4
1	35.31	4.52	70	3.1
1	-17.72	4.00	73	0.5
1	33.95	12.32	87	3.9
1	25.39	-0.79	60	2.7
1	-27.84	3.65	80	2.2
1	16.10	5.54	74	0.2
1	-31.76	5.44	53	6.3
0	42.50	-3.50	41	11.5
